1512638,Nguyễn Văn Tuấn,Công nghệ thông tin,2015,14/03/1997,nguyenvantuan140397@gmail.com,1512638.jpg,Đẹp trai khỏi nói,âm nhạc:trữ tình

1512637,Nguyễn Văn Bê,Công nghệ thông tin,2015,1/1/1997,nguyenvanb10.@gmail.com,1512637.jpg,Xấu trai học dốt,game: bắn súng 

1512639,Trần Văn Đờ,Công nghệ thông tin,2015,2/02/1997,trvd@gmail.com,1512639.jpg,Thật thà thánh thiện,âm nhạc:trịnh công sơn

1512640,Lê Ngọc Bảo Hân,Công nghệ thông tin,2015,12/03/1997,lnbh@gmail.com,1512640.jpg,Trong sáng đến ngở ngàng,ẩm thực:bún đậu mắm tôm

1512641,Nguyễn Lan Anh,Công nghệ thông tin,2015,15/03/1997,nla@gmail.com,1512641.jpg,Điên đến lạ lùng rất chân thật,âm nhạc:POP

1512642,Quách kiến Hoa,Công nghệ thông tin,2015,16/031997,qkh@gmail.com,1512642.jpg,Đẹp trai hát hay chung tình ,moto:ducaty

1512643,Trần Hạo Nam,Công nghệ thông tin,2015,17/03/1997,thn@gamil.com,1512643.jpg,Đại ca nhất hcmus hổ báo nhất trường mẫu giáo,phim:kiếm hiệp

1512644,Châu Kiệt Luân,Công nghệ thông tin,2014,18/03/1997,ckl@gmail.com,1512644.jpg,Tuy học dốt nhưng năng nổ trong mọi hoạt động,Truyện:Naruto

1512645,Phạm Hương,Công nghệ thông tin,2015,19/03/1997,ph@gmail.com,1512645.jpg,Đẹp nhưng hơi khùng điên từng là hoa khôi của làng,Múa:Bale

1512646,Đinh La Son,Công nghệ thông tin,2015,20/03/1997,dlt@gmail.com,1512646.jpg,Mạnh mẽ cương quyết có tài lãnh đạo nói là làm,Ca nhạc:ca trù
